               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
1873        272.2      18287        2      541      632      922     1217     1235     1361     1364     1296     1296     1192    1076    1022     893     768     659     608     455     409     342     285     233     190     155     134
1874        272.3         32      NaN      NaN      NaN        3      NaN        2        1        3      NaN        4        5     NaN       1       2       2       2       2       1       1       1       1     NaN     NaN       1     NaN
1875        272.4     570021       77    23629    26479    40928    50923    53270    51629    48286    43861    38871    33961   29557   25153   21144   17229   14131   11641    9409    7593    6140    4720    4009    3111    2442    1828
1876        272.5       1541        1      231       98      130      145      108       95      100       58       56       56      59      48      37      39      36      45      32      15      29      33      24      19      25      22
1877        272.6        177       17       19       11       13       11        8        9       11       10        4        7       7       7       8       4       7       2       3       4       3       3       2       1       3       3
1878        272.7        191       22       13        7       16       17       14       16       19       10        8       10       8       3       7       3       3       1       3       2       2       3       2       2     NaN     NaN
1879        272.8        310        3       18       22       26       20       30       30       26       18       17       22       9      14      15       9       8       6       3       2       3       3       1       3       1       1
1880        272.9        512        1       20       33       47       44       55       48       50       40       29       18      24      18      20      14       8       8       6       8       5       3       3       6       3       1
1881        273.0        108      NaN        2        5       11        9        9       12        8        6       10        2       4       4       3       3       4       3       2     NaN       3       2       1       2       2       1
1882        273.1       3142       13       86      113      231      344      298      219      214      202      156      146     128     137     114     112     102      74      85      84      59      57      49      44      38      37
1883        273.2        390       24        9       14       23       25       40       25       29       21       19       18      21      16       9      10      12      11      11      12      10       6       4       9       4       8
1884        273.3        574       41       22       37       58       62       40       43       42       34       32       28      26      18      19      10      17      13       6       4       6       6       1       5       1       3
1885        273.4        384       10       55       81       57       40       37       23       18       17        7        4       6       4       7       3     NaN       3       2       1       3       2       1       1       2     NaN
1886        273.8      24064       68      635     1139     1631     1891     1954     1767     1618     1420     1336     1220    1153    1005    1013     923     843     730     625     631     543     498     418     390     354     259
1887        273.9        155        6        7       10       15       15       15        9        9       10        5        3       7       6       6       2       8       3       1       7     NaN       4       2       1       2       2
1888       274.00       4433      147       92      118      152      226      241      287      297      291      313      317     265     239     238     195     166     146     144     145      88      89      71      71      54      41
1889       274.01       3709      706       94      133      160      204      252      230      235      212      208      187     171     155     122     114     107      68      81      54      46      48      28      38      23      33
1890       274.02        896        4       18       21       31       44       61       52       63       80       54       54      54      58      41      44      39      20      34      23      30      27      16      10      13       5
1891       274.03        642       33       14       23       31       34       25       35       41       45       43       34      31      36      31      22      26      27      21      25      15      13      10      11       6      10
1892       274.10         71      NaN        2        4        3        6      NaN        9        9        5        5        5       3       3       1       1       2       2       2       2       3       1       1       1     NaN       1
1893       274.11         72        6       19        7        4       13        6        5        1        4        1        2       1     NaN       1       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1894       274.19          7      NaN      NaN      NaN      NaN        2      NaN        2        2        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1895       274.81          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1896       274.82        113        8        9       11       11       13        6        7        3        4        3        1       6       6       2       3       4       2       2       3     NaN       3       2       1       3     NaN
1897       274.89         33        3        1        2        4        3        2        1        4        1        1        1       3     NaN       2       3       1     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
1898        274.9      54744       70      937     1203     2231     2845     3499     3866     4049     4046     3964     3927    3654    3158    2961    2419    2302    1916    1608    1445    1146     996     792     676     575     459
1899       275.01        119        2        6        7        5        7       10       11        8        7        9        9       9       5       3       7       2     NaN       3       2       2       2       1       2     NaN     NaN
1900       275.02        790       39      108       89       96       93       81       45       41       24       23       29      18      19       8      10       8       7       8       5      11       6       5       5       9       3
1901       275.03       1192       11       62       74       89      100       93       87       97       73       75       65      60      49      44      33      27      30      29      22      18      17       8      15       8       6
1902       275.09        206       10       13       13        7        6       10       17       12       10        9       13      10      10      12       6       9       8       4       9       4       3       3       4       1       3
1903        275.1        200        9       21       10       27       15       24       10       14       10        6        9       8       3       3       1       4       5       2       6       2       2       4       3     NaN       2
1904        275.2      66079      111     2630     3128     5468     6625     6339     5471     4650     3952     3532     3188    2753    2565    2364    2118    1802    1697    1401    1253    1141    1038     841     763     670     579
1905        275.3      33993       48      620      937     1688     2384     2463     2354     2117     2047     1878     1813    1732    1586    1460    1398    1371    1221    1147    1047    1009     946     825     681     651     570
1906       275.40        135      NaN        7       10       11       15       12        9       13        3        7        7      10       9       6       4     NaN       4       3     NaN       1       2     NaN       1       1     NaN
1907       275.41      18007      229      595      677     1089     1385     1303     1328     1153     1088      990      928     812     807     678     649     673     566     552     481     428     390     367     317     277     245
1908       275.42      11132      810      379      498      828      973      932      847      728      637      610      488     485     411     366     328     294     294     222     186     188     152     132     124     117     103
1909       275.49       2154      200      155      147      190      203      193      138      117       92       85       75      61      63      57      62      59      31      51      35      34      25      23      21      20      17
1910        275.5         90       13      NaN        1        4        8        8       13        4        7        7        7       2       3       2       3     NaN       2       1       2       1       1     NaN       1     NaN     NaN
1911        275.8        274      NaN        1        2        4        6        7       15       16       16       20       23      13      17      16      21      16      14      15      12       9      11       7       6       3       4
1912        275.9        328      NaN        1        2        9       22       25       28       21       14       20       18      17      13      19      23      11      13      14      12      15       5       3      11       5       7
1913        276.0      39868     1089     4758     7716     5995     4554     3431     2777     2045     1482     1308     1039     843     667     549     400     307     283     160     141      98      82      54      39      31      20
1914        276.1     181303     8706    33816    21626    25026    22407    17252    13121    10318     8001     6248     4432    3190    2160    1470    1003     693     542     362     274     215     134      99      87      57      64
1915        276.2      99158      586    14942    20463    15236    11035     9264     6986     5060     3683     2938     2333    1801    1382     966     726     491     372     256     177     144     102      91      46      46      32
1916        276.3      12856       36     1485     2383     2049     1574     1179      874      658      512      373      324     296     243     208     159     134      94      75      38      45      42      22      16      18      19
1917        276.4       6304       21      510      909      825      681      563      484      418      341      265      241     241     176     165     116      83      64      48      42      30      24      22      10       9      16
1918       276.50       7163      130      283      462      517      553      562      583      548      456      421      339     329     308     279     243     177     163     151     129     134     112      97      73      61      53
1919       276.51     145245     9240    13144    16388    15663    15140    12894    11343     9388     7837     6317     5198    4334    3546    2948    2314    1982    1616    1329    1109     873     763     651     499     391     338
1920       276.52      15464      308      613      816      963     1145     1194     1142     1133      995      923      790     713     663     582     506     484     464     405     356     273     255     222     183     182     154
1921       276.61        212       22        3        8       16       13       17       15       15       18       12       10       8       5       6       5       4       5       5       8     NaN       3       5       7       1       1
1922       276.69      21215     2186      435      915     1376     1525     1452     1453     1287     1080      991      956     871     853     667     725     650     598     546     527     465     412     346     342     302     255
1923        276.7      83282     3775     2077     4499     6001     6244     6187     5865     5305     4801     4614     4235    4034    3692    3380    2943    2675    2355    2019    1854    1607    1362    1210     988     835     725
1924        276.8     183470     1777     6238     9274    12103    13801    14461    14267    13660    12855    11756    10876    9454    8375    7562    6211    5544    4765    4159    3557    3082    2589    2245    1934    1545    1380
1925        276.9      11926       62      958     1698     1359     1031      959      895      644      601      475      431     382     328     310     274     213     201     180     192     157     152     120     105     113      86
1926       277.00        496       27      178      112       46       33       21       17       18       16        9        4       3       3       1       1       2       2       1       1     NaN     NaN     NaN     NaN       1     NaN
1927       277.01         16        5        5        3        2      NaN      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1928       277.02       1504      808      531       74       37       17       10       11        5        4        4        1       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1929       277.03        621       38      103      214      105       71       32       17       13        9        5        2       2     NaN       3       2     NaN       1     NaN       1       1       2     NaN     NaN     NaN     NaN
1930       277.09        381       11       38       98       85       46       40       26       11        6        6        1       2       1       1       1       3       1       1       1     NaN       2     NaN     NaN     NaN     NaN
1931        277.1        266       75       69       29       38       14       10        7       10        4        5        1     NaN       1       1       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1932        277.2         25        3        4        7        4        5        1        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1933       277.30        385       18       66       73       70       55       24       26       19       11        3        8       2       2       3     NaN       2       2       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1934       277.31        127       35       25       12        7       12       16        6        7        1        1        2       1       1     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1935       277.39       1312      173      218      214      212      128      114       75       57       37       18       17      13      14       7       4       2       2       5       1     NaN       1     NaN     NaN     NaN     NaN
1936        277.4       1333       27       79       83       97      114      116      107       79      103       93       58      72      49      40      36      31      27      31      23      17      17      12       7       7       8
1937        277.5        129       30       38       28        9        8        4        4        1        2        3        1     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1938        277.6        224       86       48       35       16        6        6        5        3        2        5        1       2       1       4       1     NaN     NaN     NaN       1       1       1     NaN     NaN     NaN     NaN
1939        277.7       3724       15      971      717      399      272      225      209      132      119       91       82      65      68      55      42      46      30      26      35      26      15      20      19      25      20
1940       277.81         57        4       14       13        5        3        4        3      NaN        2        3      NaN       2     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN       1     NaN     NaN       1
1941       277.82          5      NaN        2        2        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1942       277.83          2      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1943       277.84          3      NaN      NaN      NaN        1        1      NaN        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1944       277.85        107       22       47       22        5        3        2        1      NaN      NaN        1      NaN       1     NaN       1     NaN       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1945       277.86         68       10       16       10        8        7        5        4        2      NaN        4        1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1946       277.87        409       42      147       90       50       27       24        6        7        7        4        2       3     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1947       277.88        848       40      393      194       76       34       23       28       17       18        6        3       4       2     NaN       1       3     NaN       1       1       1       2     NaN       1     NaN     NaN
1948       277.89        276       32       75       51       36       20       19       13        9        6        5        2       4       1     NaN     NaN       2     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN
1949        277.9        257        7        7       13       13       14       19       16       19       18       13       13      12      14      19       9       6       7       2       6       5       6       6       1      10       2
1950       278.00     192072      120    18313    13192    15704    16933    16372    15469    14153    12513    10777     9584    8147    6961    6146    5078    4294    3667    3140    2694    2198    1897    1517    1303    1075     825
1951       278.01     134444    11724     7568     9100    11674    13264    11474     9899     8514     7576     6605     5856    4946    4308    3717    3205    2675    2412    2031    1772    1517    1309    1084     877     724     613
1952       278.02      11410        3      771     1016     1045     1188     1119      907      846      696      601      486     444     375     343     259     236     215     177     178     126     106      64      89      69      51
1953       278.03      11086      210     1034     1112     1535     1594     1260     1063      780      703      509      417     280     189     124      90      47      40      30      23      15      12       4       4       8       3
1954        278.1        797      159       81       63       49       43       41       37       45       36       21       25      20      25      20      14      20       9      10      17      11      18      10      13       6       4
1955        278.2          4        1      NaN      NaN        1      NaN      NaN        1      NaN      NaN      NaN      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1956        278.3          5      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN        1        1     NaN       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1957        278.4         66        3      NaN        1        5        5        5        3        4        2        2        8       2       4       2       1       1       3       3       3       2       2       2       1     NaN       2
1958        278.8         37      NaN        2        5        6        3        4        1        2        2        2        1       3       1     NaN     NaN       3     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN       1
1959       279.00       1788       19      221      343      263      217      208      129       99       70       52       43      34      33      15       9      10       2       6       5       2       4       2     NaN       2     NaN
1960       279.01        169        1       55       41       30       15       11        6        6        2        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1961       279.02         29      NaN        5        9        3        5        4        2      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN
1962       279.03        420        5      103       90       67       45       36       19       19       10        7        2       4       3       3       2     NaN       1     NaN     NaN       1     NaN       3     NaN     NaN     NaN
1963       279.04         15      NaN        6        4        3        1      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1964       279.05          5      NaN        2        2      NaN      NaN      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1965       279.06        560       27      166      134       69       50       36       26       12        7       12        7       3       2       3     NaN       2     NaN       2     NaN     NaN       1     NaN     NaN       1     NaN
1966       279.09         14      NaN        4        4        1        2      NaN      NaN        1      NaN      NaN        1     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1967       279.10         34        2       10        8        4        1        3        1        1        1        2      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1968       279.11        404        7      132      155       56       23        9        7        3        3        3        1       2     NaN     NaN       1       1     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN
1969       279.12         28        5       12        6        1        1        2      NaN        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1970       279.13          1      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1971       279.19         21        2        3        7        2        3        4      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1972        279.2        162       23       54       46       15        7        5        2        1      NaN        1        1       4       1       1     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN
1973        279.3        709        4      208      214      107       73       34       23       15        5        6        7       2       1       4     NaN       2       1       1     NaN       1     NaN     NaN       1     NaN     NaN
1974       279.41         21        3        1        3        2        1      NaN        2        3        2        1        2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN
1975       279.49       1029       99      177      213      106      104       61       54       31       25       26       26       8      17      15      15       9       8       4       8       3       6       7       1       2       4
1976       279.50        550        1      109      162      114       69       31       11       17       10        6        4       3     NaN       5       2       1     NaN     NaN     NaN       1       3     NaN       1     NaN     NaN
1977       279.51        304        1       53       76       60       41       14       15        5        8        6        8       3       4     NaN       3     NaN       1       1       1     NaN       2     NaN       1     NaN       1
1978       279.52        616        1      132      176      116       78       38       13       19       12        7        6       5     NaN       1       3       1       1       1       1       1       1       2     NaN     NaN       1
1979       279.53         87      NaN       20       22       11        9        5        2      NaN        1        3        2       4     NaN       1     NaN     NaN     NaN       2       2     NaN       1       1     NaN       1     NaN
1980        279.8        142        2       27       42       19        9        7        3        4        3        3        4       1       1       2       4     NaN       2       2       3       1       2     NaN       1     NaN     NaN
1981        279.9       1114        3       82      206      182      142      113       73       57       43       26       17      26      22      19      19      12      10      10      14      11       6       6       8       3       4
1982        280.0      26829     2160     1800     2250     2216     2181     2263     1830     1638     1319     1191     1039     956     870     783     667     608     551     468     391     341     325     303     274     211     194
1983        280.1        277       37       10       18       18       28       26       21       12       20       11        8       7      12      10       9       8       5       4       2       2       2       1       4       2     NaN
1984        280.8        527       87       23       33       30       35       32       28       45       30       28       24      18      17      14      11      12      10       9      11       6       7       4       4       6       3
1985        280.9      67463     2959     3273     3438     4413     5663     6293     5347     4558     4043     3576     3345    2881    2701    2355    2074    1770    1657    1336    1275    1039     938     815     668     566     480
1986        281.0       1038       40      108      147      118      133       99       75       58       33       45       29      28      18      17      18       5      21      11       4       5      13       4       3       4       2
1987        281.1       1244       53      100      131      154      129      132       83       79       64       40       43      38      33      32      18      17      18       8      17      12       6      12      10      10       5
1988        281.2        967       11       32       48       96       97      100       76       54       51       54       47      52      39      30      30      23      19      21      17      16      18      11       6      11       8
1989        281.3        127       10        3       13       11       13       14       10        5        6      NaN        4       7       5       2       2       5       1       5       2       2       3     NaN       4     NaN     NaN
1990        281.4         14        1        1      NaN        2        1        4      NaN      NaN        2      NaN        1     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1991        281.8         60        6        6        4        3        9        8        5        4        1        1        1       1     NaN       3       1       2       1       1     NaN     NaN       1       1     NaN     NaN       1
1992        281.9       9806      168      171      392      469      644      788      787      762      688      637      590     527     500     422     399     359     298     264     201     177     150     125     116      91      81
1993        282.0        241       41       45       40       17       15       16       13       11        9        4        7       6       5     NaN       2       1       3     NaN       3     NaN     NaN     NaN       2       1     NaN
1994        282.1         42        6      NaN        4        7        3        6        3        3        2        2        2       1     NaN     NaN       1     NaN     NaN       1     NaN     NaN     NaN       1     NaN     NaN     NaN
1995        282.2        234        7       49       52       24       24       13       17       11        5       11        4       2     NaN       3       1     NaN       4       2       1       1     NaN     NaN       2       1     NaN
1996        282.3         35       10        3        3        4        2        1        3        2      NaN      NaN        1     NaN       1     NaN     NaN       2       1     NaN       1     NaN     NaN     NaN       1     NaN     NaN
1997       282.40        961        9       92       62       81      104       95       77       74       72       41       50      33      30      26      22      20      14       9      16      10       7       5       5       5       2
1998       282.41        100       11       27        9       13        7        6        3        6        7        1      NaN       1     NaN       5     NaN       2     NaN       1       1     NaN     NaN     NaN     NaN     NaN     NaN
1999       282.42        212      192       16        2        1      NaN      NaN        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2000       282.43        436       10      103       48       48       47       38       29       25       15       15       14       7       7       4       3       5       5       3       3       3       3     NaN     NaN     NaN       1
2001       282.44        454       39      130      102       59       40       20       23       13       10        4        4       1       1       1     NaN       1       1       1       1       2     NaN       1     NaN     NaN     NaN
2002       282.45          8      NaN        3        4      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2003       282.46       2027        9      297      173      182      191      182      156      134      112      109       76      63      54      49      42      33      35      37      23      24      14       7       8       8       9
2004       282.47         24        5        4        5        3        1        3        1      NaN      NaN      NaN        1     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2005       282.49         85        5       16        7        9        9        7        5        4        6        4        5     NaN       1     NaN       1       1       1       1     NaN       2     NaN     NaN     NaN     NaN       1
2006        282.5       1992        5      277      247      235      200      177      155      121      103      107       75      51      49      43      27      32      20      18      14       9       9       8       2       3       5
2007       282.60        984       86      200      144      114       99       75       49       43       37       26       27      19      14      12      10       5       5       6       3       1       4       2     NaN       2       1
2008       282.61        284       61       92       41       31       13       12       11        3        6        5        2       1       1     NaN       2       2     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2009       282.62       3625     3134      366       62       26       17        8        6        4        1        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2010       282.63         55        7       14       10        8        6        4        2        1      NaN        2        1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2011       282.64        135      121        7        2        1        1        1        1        1      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2012       282.68         36        7        8        6        5        4        1        1      NaN        1      NaN        1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1       1     NaN     NaN     NaN
2013       282.69        138       88       26        3        4        6        1        2      NaN        3        1      NaN     NaN     NaN     NaN       1       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1
2014        282.7        281        1       73       34       19       34       17       26       11        7       12        9       1       9       7       3       3       3       4       1       2       3       1       1     NaN     NaN
2015        282.8         18      NaN        7      NaN        3        2        2        1      NaN        1      NaN      NaN       1     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2016        282.9         43        1        9        4        3        6        7        2        1      NaN        3        2       1       1       1     NaN       1     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
2017        283.0       1316      406      166      143      143      127       84       72       41       32       31       20      15      11       8       7       3       1       1       1       1     NaN       1       2     NaN     NaN
2018       283.10         39       11        6        1        2        4        6      NaN      NaN        3        1      NaN       1       1     NaN       1       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2019       283.11        213       55       72       29       15       11       11        4        3        2        4        2       1     NaN     NaN       1     NaN       2     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN
2020       283.19        218       29       19       13       17       20       26       17       15       12        8        9      11       1       3       1       7       1       2     NaN       4     NaN       1     NaN       2     NaN
2021        283.2        117       18        4       17       16       16       10        5        2        1        7        3       1       3     NaN       1       2       2     NaN       2       3       1     NaN     NaN       1       2
2022        283.9       1283      172      163      140      139      134      117      102       68       53       43       37      26      22      14      10       6       8       7       7       2       5       3       1       2       2
2023       284.01         81       13       28       22        9      NaN        6      NaN      NaN        2        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2024       284.09         74        7       19       18        8        8        3        1        2        1        3        1     NaN     NaN       1     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN
2025       284.11       9213      776     4689     1088      723      580      404      291      200      127       90       65      59      25      32      12      13      10      11       5       5       4       2       1     NaN       1
2026       284.12        726       82      335       92       68       45       36       25       12       14        6        4       1       3       1       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2027       284.19      27251     1256     5730     7143     4331     2668     1762     1166      843      620      463      332     216     185     122     107      74      78      50      31      19      17      14       8       6      10
2028        284.2         78      NaN        5       12        6       10       14        3        5        5        2        5       2       4       2     NaN       1     NaN     NaN       1     NaN     NaN     NaN     NaN       1     NaN
2029       284.81         71       17       31        5        4        2        5        2      NaN        2        1        1     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2030       284.89        417      100      183       42       33       22       11        9        6        1        4        2       1       2     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2031        284.9        674      173      174      110       86       46       24       19       13        5        8        6       2       1       1       1       1     NaN       1     NaN     NaN     NaN       2     NaN       1     NaN
2032        285.0         68        2        4        4       13        6        5        6        4        6        1        3       3       2       2     NaN     NaN       1     NaN       2       1     NaN       2     NaN     NaN       1
2033        285.1     114127     2723    39100    15592    11986    10299     8225     6638     5061     3755     2874     2095    1562    1105     797     592     482     353     252     179     142     102      75      57      39      42
2034       285.21      69405      855      136      531     1492     2722     4248     5216     5508     5426     5170     4910    4648    4311    3883    3378    2940    2645    2278    2034    1651    1478    1200    1116     877     752
2035       285.22      12204      564       96      398      586      763     1077      973      974      861      835      712     641     578     540     479     405     305     261     256     219     198     165     140      96      82
2036       285.29      71403      641      624     1756     2611     3779     5168     5279     5226     4894     4751     4401    4432    4028    3728    3224    2862    2592    2264    1946    1762    1453    1295    1059     856     772
2037        285.3       5805      288       76      475      712      717      580      521      353      308      260      218     213     175     156     106     112      98      94      71      74      61      47      37      23      30
2038        285.8       3407      186      189      212      235      256      256      291      247      200      186      178     150     144     122      97      95      65      63      48      49      41      31      24      21      21
2039        285.9     261951     3288    19352    19693    20020    23334    24935    21608    18985    16186    14284    12646   10821    9617    8436    7217    6096    5274    4385    3739    3080    2512    2160    1732    1432    1119
2040        286.0        762      103      438       90       55       22       25        8        7        5        5        1       1       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2041        286.1        157       18      100       17        8        5        5      NaN        2      NaN        1        1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2042        286.2        101        1       34       16       11        8        8        6        7        3        4        2     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2043        286.3        948        8      321      225      148       88       55       30       13       18       10        4       4       7       5       3       2     NaN       3       2       1     NaN       1     NaN     NaN     NaN
2044        286.4        932       24      388      241      108       65       49       23       10        5        7      NaN       2       2     NaN       3     NaN       1       2       1     NaN     NaN     NaN     NaN     NaN       1
2045       286.52         37       10        8        6        3        3        2        1        1        1      NaN        2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2046       286.53         36        3        7        5        4        3        5        1        1        2      NaN        1     NaN       1     NaN     NaN     NaN     NaN     NaN       1     NaN       1       1     NaN     NaN     NaN
2047       286.59        177       35       21       26       22       17       11       12        8        7        7        3       3       3       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2048        286.6       5003       59     1325     1580      933      476      258      134       76       41       31       15      19      11       8       3       4       5       6       5       3       2       6       1     NaN       2
2049        286.7       6335       36      533     1359     1059      718      566      483      325      261      226      193     126      94      70      75      56      37      31      23      20      17       9      10       3       5
2050        286.9      18049      104     2192     3719     2859     2080     1557     1241      984      796      556      445     335     291     215     156     130     103      76      62      40      30      24      31      10      13
2051        287.0        294      170       46       17       20       11        9        8        4        3        3        1     NaN     NaN     NaN     NaN       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
2052        287.1        550       17       51      113       79       57       45       37       23       27       11       11       7      14       7       8       6       7       4       5       2       1       6       4       4       4
2053        287.2       2674       19      222      404      469      446      338      224      119       95       55       42      25      34      22      22      18      13      19      19       9      10       8      17      11      14
2054       287.30        321       12       59       68       46       29       10       10       18       11        6        4       7       7       8       1       4       7       4       3       2       3       1     NaN     NaN       1
2055       287.31       4379     1276     1115      875      404      223      145       90       65       45       33       26      19      13      13       8       6       5       6       5       2       1       1       2     NaN       1
2056       287.32        195       41       47       40       24        6       10        5        4        7        4        1       3       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN
2057       287.33        125        5       34       28       20        9       10        3        2        2        3        2       1       1       2     NaN       1       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN
2058       287.39        212        4       16       35       16       16       16       19       11        8        8        9       7       6       6       3       8       7       6       4       1       2       1       2       1     NaN
2059       287.41          8        2      NaN        2        1        1      NaN      NaN      NaN      NaN      NaN      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN
2060       287.49      20534      225     1464     2910     2474     2276     2102     1642     1186      872      716      600     526     489     469     379     349     261     302     259     229     189     173     175     138     129
