               0          1        2        3        4        5        6        7        8        9        10       11       12      13      14      15      16      17      18      19      20      21      22      23      24      25      26
32          006.6          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
33          006.8          2        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
34          006.9         12        3        1        1      NaN        1        1        2        1      NaN        1      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
35          007.0          2      NaN      NaN        1      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
36          007.1         84       24       18        4        6        5        5        9        1        2        1        2       1       4       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
37          007.2         12        1        3        2        3        1        1        1      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
38          007.3          1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
39          007.4         91       19       16        9       16        8        6        5        2        3        4      NaN       1     NaN     NaN     NaN     NaN       1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN
40          007.5          2      NaN      NaN      NaN      NaN        1        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
41          007.8         17        7        5        1        1        1      NaN      NaN        1      NaN      NaN      NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
42         008.00         73       29        9       12        6        1        5        4        2        1      NaN        1       2       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
43         008.01          6        3        1      NaN        1        1      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
44         008.02          3        3      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
45         008.04         48       39        7        1      NaN      NaN        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
46         008.09         10        5        1        1      NaN        1      NaN      NaN      NaN      NaN      NaN        1     NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
47          008.2         11        5        1        1        1        1      NaN      NaN      NaN        1      NaN      NaN       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
48          008.3          8        1      NaN        1        2        1      NaN        2      NaN        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
49         008.41         26        9        4        5        3        2        1      NaN        1        1      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
50         008.42         34       12        4        1        1        2        3        4        2        2        3      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
51         008.43        538      297       81       41       30       24       16       13        6        8        4        6       5       2       1     NaN       2     NaN     NaN     NaN       1     NaN     NaN       1     NaN     NaN
52         008.44          7        1        2      NaN        1        2        1      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
53         008.45      30134     6908     3491     4033     3881     3232     2413     1706     1098      781      608      470     363     289     224     175     118      94      78      44      43      33      14      15      13      10
54         008.46         42        9        2        2        4        6        3        4        3      NaN        1        3     NaN       1       2     NaN       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
55         008.47         30       13        2        2        4      NaN        2        2        3        1        1      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
56         008.49         81       31        7       13        8        2        5        4        3      NaN      NaN        2       2       1     NaN     NaN       1       1     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN
57          008.5        313      136       44       35       20       26       12       12        7        5        4        5       1       1       1       2       1       1     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
58         008.61        481      296       86       33       14       15       11        9        7        2        2        2     NaN       1     NaN       1     NaN       1     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
59         008.62         72       28        7        5        6        2        6        2        5        2        2        2       1       2     NaN     NaN       2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
60         008.63        204       64       25       15       13       18       17       10       15       10        5        3       3     NaN     NaN       2     NaN       1       1       1       1     NaN     NaN     NaN     NaN     NaN
61         008.64          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
62         008.65          1        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
63         008.66          1      NaN        1      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN      NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
64         008.67         49       18       10        3        4        7        1      NaN        1        1        1        2     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
65         008.69        267       49       19       29       25       19       27       23       13       14        7        8       6       6       6       2       5       1     NaN       4     NaN       1       1     NaN       2     NaN
66          008.8       7438     3312     1038      559      434      347      324      281      206      198      148      101      84      93      54      47      41      32      31      28      12      17      14      16      12       9
67          009.0       2411     1209      368      214      143       74      103       81       57       61       28       25      16      12       7       4       4       1       1       1       1     NaN     NaN     NaN     NaN       1
68          009.1        408      211       59       34       23       15       12        9       11       14        9        3       1       3       1     NaN     NaN     NaN       2     NaN     NaN       1     NaN     NaN     NaN     NaN
69          009.2        362      122       67       49       22       16       18       13       15       13       11        5       6       2       1       1     NaN     NaN     NaN     NaN       1     NaN     NaN     NaN     NaN     NaN
70          009.3        103       30       19        4        8        8        8        8        5        3        4        2     NaN     NaN     NaN     NaN       1       3     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
